answer,pack,dncahPack
Guns.,"Bad Campaign, The Presidential Party Game!",Elections & Donald Trump
Guns.,CAH Green Box Expansion,CAH & Expansions
Gus: the Palsy Cat.,CAH Theatre Pack - CATS Musical Pack,CAH & Expansions
Gut-wrenching explosive diarrhea.,Words Against Morality: Volume 1,CAH & Expansions
Guy Fieri's atomic donkey sauce.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Guy Fieri's frosted tips.,Words Against Morality: Volume 1,CAH & Expansions
Guys going after new follows like piranha on a cow.,Carbs of the Huge Manatee: Dance Expansion 1,Dating
Guys who don't call.,CAH Base Set,CAH & Expansions
Guys who don't call.,Cards Against/For South Africa,South Africa
Guys who take off their wedding rings before they flirt with you at a bar.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Elections & Donald Trump
Guys with calf implants.,Clones Attack Hilarity #2,CAH & Expansions
Guzzling Animal Semen,Personally Incorrect - Expansion 2 [Yellow Box],Personal
Guzzling Rosé with white girls,Kiwis Versus Morality,New Zealand
Gweneth Paltrow's head.,WTF Did You Say?!?,CAH & Expansions
Gwyneth Paltrow's opinions.,CAH Blue Box Expansion,CAH & Expansions
Gymnastic leotards that slide up your butt.,Not Parent Approved,Kids
H. Ross Perot,Conspiracy Theory,Conspiracy
Hackers,Conspiracy Theory,Conspiracy
Hacking my parent's password.,Not Parent Approved,Kids
Hacking up a loogie.,Not Parent Approved Expansion Pack #2,Kids
Hacktavist group Anonymous.,WTF Did You Say?!?,CAH & Expansions
Haggis.,CAH Base Set,CAH & Expansions
Hagrid and Madame Maxime roleplay.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Elections & Donald Trump
HaHa Clinton-Dix.,WTF Did You Say?!?,CAH & Expansions
HAIBO! Voertsêk!,Hilarious!,CAH & Expansions
Hair cancer.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Hair gel on the inside of your car windows.,Carbs of the Huge Manatee - Kink Expansion 1,Dirty
Hair Pulling,Dirty Nasty Filthy,Dirty
Hair stuck in the drain,Kids Create Absurdity,Kids
Hair ties,Kids Create Absurdity,Kids
Hairballs,Kids Create Absurdity,Kids
Hairy Armpits,Personally Incorrect,Personal
Hairy armpits.,Not Parent Approved,Kids
Hairy Balls,Dirty Nasty Filthy,Dirty
hairy balls,Evil Apples,CAH & Expansions
Hairy Balls,Personally Incorrect,Personal
Hairy erect nipples,Depravity,Depravity
Hairy female nipples.,Hilarious!,CAH & Expansions
Hairy Legs,Personally Incorrect,Personal
Haivng sex on the display beds at Sears.,"Humanity Hates the Holidays ""Love"" Edition",CAH & Expansions
Haivng sex with strangers for money.,"Guards Against Insanity, Edition 5",CAH & Expansions
Haivng the goal of martyrdom.,The Catholic Card Game: Base Deck,Catholic
"Hakuna matata, motherfucker.",Crabs Adjust Humidity: Volume 2,CAH & Expansions
Half a bottle of lube and a used condom.,Clones Attack Hilarity #2,CAH & Expansions
Half a kilo of pure China White heroin.,CAH Base Set,CAH & Expansions
Half-assed foreplay.,CAH Base Set,CAH & Expansions
Half-assed foreplay.,Cards Against/For South Africa,South Africa
half-formed fetal suggestions,Dick,CAH & Expansions
Halloween costumes that cross the line,KinderPerfect: Tween Expansion Pack,Parenthood
Hallucinate that I am a cartoon sponge.,Potheads Against Sanity,420
Hallucinating after too many drugs,Depravity,Depravity
Ham night!,Crabs Adjust Humidity: Volume 4,CAH & Expansions
Ham sandwiches.,"Bad Campaign, The Presidential Party Game!",Elections & Donald Trump
Ham.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
Hamilton,Kiwis Against Morality,New Zealand
Hand feeding Rob Ford Cheez-its,Cards About Toronto,Toronto
Hand lotion. Lots and lots of hand lotion.,Charlie Foxtrot,Military
Hand stuff.,Clones Attack Hilarity #1,CAH & Expansions
Hand to gland combat.,"Guards Against Insanity, Edition 3",CAH & Expansions
HAND WASH ONLY!!!,Knitters Against Swatches Second Edition,Knitting
Hand-me-down anal beads from your grandmother.,WTF Did You Say?!?,CAH & Expansions
Hand-picked assholes from Trump University.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Hand-to-gland combat.,Charlie Foxtrot,Military
Handcuffing a wizard to a radiator and dousing him with kerosene.,CAH Fantasy Pack,CAH & Expansions
Handcuffing people in the dumbest fucking way possible.,Disgruntled Decks: Coast Guard/Coastie Edition,Military
Handcuffs,Dirty Nasty Filthy,Dirty
Handcuffs,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
"Handcuffs, duct tape, and a ball gag.",WTF Did You Say?!?,CAH & Expansions
Handel's Messiah,Cards Against Profanity,CAH & Expansions
handfuls of Klonopin,Evil Apples,CAH & Expansions
Handing out ecstasy in the NICU,"Clams Attempt Harmonica, Volume 1",CAH & Expansions
Handling the Jandal,Kiwis Against Morality,New Zealand
"Handmade, locally grown organic baby food",KinderPerfect (Commercial Set),Parenthood
Hands-free ejaculation.,"Guards Against Insanity, Edition 2",CAH & Expansions
"Hands, or as I like to call them, dick skinners.",Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Dirty
Hands.,CAH Everything Box Expanion,CAH & Expansions
Hanging black people.,Cakes Athirst Hilarity Volume 4,CAH & Expansions
Hanging out by myself.,WTF Did You Say?!?,CAH & Expansions
Hanging out with Saddam.,Charlie Foxtrot,Military
Hanging up and pretending you ran out of mobile credit,JadedAid: A Card Game to Save Humanitarians,Humanitarian
Hangman. What better way to kill time?,Cards Against Profanity,CAH & Expansions
Hanky-Panky,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Hanlan's Point Clothing Optional Beach,Cards About Toronto,Toronto
Happily ever after endings.,Not Parent Approved,Kids
Happiness,Cards Against Profanity,CAH & Expansions
Happiness in the form of Netflix and fellatio.,Cows Against Hamburgers - Patty Pack #1,CAH & Expansions
Happy daddies with happy sandals.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
Happy Endings.,Cakes Athirst Hilarity Volume 1,CAH & Expansions
Happy Family Memories.* ,Carbs of the Huge Manatee: General Expansion 1,CAH & Expansions
Happy Hour at Zanzibar,Cards About Toronto,Toronto
Happy pills.,"Crows Adopt Vulgarity, Vol. 1",CAH & Expansions
Harajuku Girl prostitutes.,"Crows Adopt Vulgarity, Vol. 3",CAH & Expansions
Harambe.,Crabs Adjust Humidity: Volume 7,CAH & Expansions
Hard Yakka,Kiwis Against Morality,New Zealand
Hard-hitting investigative journalism.,CAH Absurd Box Expansion,CAH & Expansions
Hardcore cuddling.,"Crows Adopt Vulgarity, Vol. 2",CAH & Expansions
Hardcore fraternization.,Disgruntled Decks: Air Force Edition,Military
Hardcore malingering.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
Harnessing the athleticism of black people to finally win the World Cup.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Dirty
"Harnessing the miraculous power of the atom to slaughter 200,000 Japanese people.",CAH 2014 Holiday Pack,CAH & Expansions
Harnessing the power of steam!!!,CAH Human Pack,CAH & Expansions
Harriet Tubgirl.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Dirty
Harriet Tubman underboob.,Cards and Punishment Vol. One,CAH & Expansions
Harry Dresden.,Carbs of the Huge Manatee: General Expansion 2,CAH & Expansions
Harry Potter erotica.,CAH Base Set,CAH & Expansions
Harry Potter erotica.,Cards Against/For South Africa,South Africa
Harry Potter male pregnancy fan fiction,Cards About Toronto,Toronto
Harry Potter.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
Harry Redknapp`s saggy bacon cheeky chops,Pigs Against Profanity: Volume 2,CAH & Expansions
harvesting babies,Evil Apples,CAH & Expansions
Harvesting lint from bodily crevices.,Cads Against Adulting,Adulting
Harvesting the organs of the homeless,Voter's Choice: The First Expansion,CAH & Expansions
Harvesting the organs of the homeless.,Words Against Morality: Volume 2,CAH & Expansions
Harvey Price's hot creamy semen,Pigs Against Profanity: Volume 1,CAH & Expansions
Harvey Weinstein,Cows Grilling Hamburgers - Patty Pack #1,CAH & Expansions
Hashtag activism,Conspiracy Theory,Conspiracy
Hashtags on Facebook,Cards About Toronto,Toronto
Hassle-free clinic test results,Cards About Toronto,Toronto
Hate fucking a Subaru™.,The Worst Card Game: Colorado Edition,Colorado
Hate fucking your enemies.,Cows Against Hamburgers - Patty Pack #1,CAH & Expansions
Hatin' Pope Francis.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
"Hating gays because they're ""weird"" but liking lesbians because they're ""sexy.""","Crows Adopt Vulgarity, Vol. 1",CAH & Expansions
Hating Hilary Clinton.,CAH Vote For Trump Pack,Elections & Donald Trump
Hating Jews.,CAH Green Box Expansion,CAH & Expansions
Hating piggybackers.,Disgruntled Decks: Air Force Edition,Military
Hating stupid pilot culture because it's stupid and you hate it.,Disgruntled Decks: Air Force Edition,Military
Hating your life because the Coast Guard never lets you do anything cool.,Disgruntled Decks: Coast Guard/Coastie Edition,Military
Haunted houses.,Not Parent Approved,Kids
Have some more kugel.,CAH Base Set,CAH & Expansions
have you ever dressed up as a maid?,That's What She Said Game,Said
have you ever had Five Guys?,That's What She Said Game,Said
have you ever tried docking?,That's What She Said Game,Said
have you heard of the Battle of the Bulge?,That's What She Said Game,Said
have you seen the trick where I make a pickle disappear?,That's What She Said Game,Said
Having $57 in the bank.,CAH Red Box Expansion,CAH & Expansions
Having 147 prayer cards that I just can't throw away.,The Catholic Card Game: Base Deck,Catholic
Having a 647 phone number,Cards About Toronto,Toronto
Having a baby to save your relationship.,"Guards Against Insanity, Edition 4",CAH & Expansions
Having a baby.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
Having a bad life.,CAH Everything Box Expanion,CAH & Expansions
Having a beer to stimulate milk production.,Fun in the Oven,CAH & Expansions
Having a big toe for all of your toes.,Cards and Punishment Vol. One,CAH & Expansions
Having a big toe for all ten toes.,Cards and Punishment Vol. One,CAH & Expansions
Having a bunch of kids by accident.,CAH Dad Pack,Parenthood
Having a couple of stiff ones,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Having a day as bad as Tobit's.,The Catholic Card Game: Base Deck,Catholic
Having a dove for a pet.,The Catholic Card Game: Life Teen Expansion Pack,Catholic
Having a favorite child,KinderPerfect: More Expansion Pack,Parenthood
Having a Golden Gaytime.,CAH Base Set,CAH & Expansions
Having a great work ethic in video games and nothing else.,Cads Against Adulting,Adulting
Having a heart attack.,CAH Dad Pack,Parenthood
Having a hot dream about a co-worker,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Having a house to myself.,Cads Against Adulting,Adulting
Having a little too much fun.,"Crows Adopt Vulgarity, Vol. 1",CAH & Expansions
"Having a long history of mental illness. Being known for violence. And still qualifying to buy a gun, because this is America.",Words Against Morality: Volume 4,CAH & Expansions
Having a minor in Catholic Studies.,The Catholic Card Game: Base Deck,Catholic
Having a nice ash… cross.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
Having a painful disease in my loins.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
Having a panic attack in a grocery store.,Cads Against Adulting,Adulting
Having a penis.,CAH Base Set,CAH & Expansions
Having a pint with Aquinas.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
Having a pulse and being fuckable.,"Crows Adopt Vulgarity, Vol. 3",CAH & Expansions
Having a really big head.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
"Having a really cool nickname, like ""The Sledgehammer.""",CAH Everything Box Expanion,CAH & Expansions
Having a relaxing night deciding what show to watch and choosing nothing.,Cads Against Adulting,Adulting
Having a rocket penis.,Hilarious!,CAH & Expansions
Having a shag in the back of a ute.,CAH Base Set,CAH & Expansions
Having a snowball fight,Kids Create Absurdity,Kids
Having a stranger touch your belly.,Fun in the Oven,CAH & Expansions
Having a stroke.,CAH Base Set,CAH & Expansions
Having a stroke.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
Having a strong opinion about Obamacare.,CAH 2013 Holiday Pack,CAH & Expansions
Having a superior complex.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
Having a surprise baby on November 14th.,"Humanity Hates the Holidays ""Love"" Edition",CAH & Expansions
Having a tantrum because someone called your Jandals: Thongs,Kiwis Against Morality,New Zealand
Having a thousand best friends but they're all pigeons.,CAH Everything Box Expanion,CAH & Expansions
Having a Threesome,Dirty Nasty Filthy,Dirty
Having a vagina and a penis.,Hilarious!,CAH & Expansions
Having a vagina.,CAH Green Box Expansion,CAH & Expansions
Having a very particular set of skills. Skills I have acquired over a very long career. Skills that make me a nightmare for people like,Cows Grilling Hamburgers - Patty Pack #1,CAH & Expansions
Having a wet dream about Finding Nemo®.,WTF Did You Say?!?,CAH & Expansions
Having a wonderful time at the zoo.,CAH Absurd Box Expansion,CAH & Expansions
Having acronyms for your acronyms (HAFYA).,Disgruntled Decks: Air Force Edition,Military
Having all the planes!,Disgruntled Decks: Air Force Edition,Military
Having an affair with the Grand Master of the KKK.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Elections & Donald Trump
Having an affair.,CAH Everything Box Expanion,CAH & Expansions
Having an awesome time drinking and driving.,CAH Green Box Expansion,CAH & Expansions
Having an eligible daughter.,The Catholic Card Game: Generations Expansion Pack,Catholic
Having an orgy in a Porta-Potty during a very hot summer day on Iraqi soil.,Charlie Foxtrot,Military
Having an orgy with a cardboard cutout of yourself.,Humanity Hates Trump: Base Set,Elections & Donald Trump
Having an uncontrollable orgasm while talking to animals.,Cats Abiding Horribly: Episode I - The Dirty Goblin,CAH & Expansions
Having another baby.,Fun in the Oven,CAH & Expansions
Having another kid make up for the crushing disappointment of the first one.,Clones Attack Hilarity #1,CAH & Expansions
Having anuses for eyes.,CAH Base Set,CAH & Expansions
Having been dead for a while.,CAH Blue Box Expansion,CAH & Expansions
Having big dreams but no realistic way to achieve them.,CAH Base Set,CAH & Expansions
Having break-up sex by yourself.,"Crows Adopt Vulgarity, Vol. 2",CAH & Expansions
Having carpel tunnel from too many Rosaries.,The Catholic Card Game: Generations Expansion Pack,Catholic
Having Catholic guilt.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
Having Cementos Mexicanos build the wall.,Bad Hombres Against Fake News Pack 1,Elections & Donald Trump
Having dinner with the president,Kids Create Absurdity,Kids
Having divorced parents.,CAH Everything Box Expanion,CAH & Expansions
Having drinks with Bill Cosby.,Humanity Hates Trump: Base Set,Elections & Donald Trump
Having dyslexia and writing a list to Satan.,Humanity Hates The Holidays,Holidays
Having eight small children,Cards Against Profanity,CAH & Expansions
Having explosive diarrhea in your date's bathroom.,Carbs of the Huge Manatee - Online Dating Expansion 1,Dating
Having eyes that look like anuses.,Hilarious!,CAH & Expansions
Having inappropiate thoughts about being fucked by a horse,Pigs Against Profanity: Volume 1,CAH & Expansions
Having just one glass of champagne.,Fun in the Oven,CAH & Expansions
Having many husbands.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
Having Mariah Carey stuck in my head for several hours straight,Cards Against Profanity,CAH & Expansions
"Having Maury Povich tell you, ""You are not the father"".","Humanity Hates the Holidays ""Love"" Edition",CAH & Expansions
Having mind-blowing sex with someone whose politics are the polar opposite of yours.,Carbs of the Huge Manatee - Online Dating Expansion 1,Dating
Having more hair on your balls that on your head.,"Crows Adopt Vulgarity, Vol. 1",CAH & Expansions
Having more Oscars than Leonardo DiCaprio.,"Crows Adopt Vulgarity, Vol. 1",CAH & Expansions
Having more sex while pregnant than you were before.,Fun in the Oven,CAH & Expansions
Having multiple personalities and none of them are any fun.,Clones Attack Hilarity #1,CAH & Expansions
Having my children live with me until the day I die,Cards Against Profanity,CAH & Expansions
Having my credit card declined.,Cads Against Adulting,Adulting
"Having nipples so wide that they start to become one, like a unibrow.",Cards and Punishment Vol. Two,CAH & Expansions
Having no bones.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
Having no friends.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
Having no idea what the fuck is going on.,CAH Desert Bus For Hope Pack,CAH & Expansions
Having no idea what you're doing on your first finger bang,Depravity,Depravity
"Having no legs, just toes.",CAH Absurd Box Expansion,CAH & Expansions
Having no one to shake hands with at the sign of peace.,The Catholic Card Game: Base Deck,Catholic
having no place to sit,Dick,CAH & Expansions
Having nothing to prove.,CAH PAX Prime 2014 Custom Printed Cards,CAH & Expansions
Having only five minutes left of computer time.,Not Parent Approved,Kids
Having penises as nipples.,Cakes Athirst Hilarity Volume 4,CAH & Expansions
Having priests as friends.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
Having sex for the first time.,CAH Base Set,CAH & Expansions
"Having sex in Mammoth Cave in order to join the ""mile-low club.""",Cols Against Kentucky 2,Kentucky
Having sex in the neighbors hot tub.,Cakes Athirst Hilarity Volume 2,CAH & Expansions
Having sex on a giant mound of bubble wrap.,Carps & Angsty Manatee - Volume 1,CAH & Expansions
"Having sex on tap, all thanks to your wife's dementia.","Guards Against Insanity, Edition 2",CAH & Expansions
Having sex on top of a pizza.,CAH Base Set,CAH & Expansions
Having sex too soon after giving birth.,Fun in the Oven,CAH & Expansions
Having sex with a beautiful person.,CAH Green Box Expansion,CAH & Expansions
Having sex with a dead baby fetus.,Cakes Athirst Hilarity Volume 3,CAH & Expansions
Having sex with a man and then eating his head.,CAH Green Box Expansion,CAH & Expansions
Having sex with every man in Winnipeg.,CAH Base Set,CAH & Expansions
"Having sex with Mildred, Arnold Schwarzenegger's nanny and girlfriend.",Bad Hombres Against Fake News Pack 1,Elections & Donald Trump
Having sex with someone who learned their technique from watching bad porn.,Carbs of the Huge Manatee - Online Dating Expansion 1,Dating
Having sex with the principal.,Voter's Choice: The Second Expansion,CAH & Expansions
Having sex with your mom.,CAH Green Box Expansion,CAH & Expansions
Having sexual thoughts about that hot cousin.,Cats Abiding Horribly: Episode I - The Dirty Goblin,CAH & Expansions
Having shotguns for legs.,CAH Base Set,CAH & Expansions
Having six weeks left to live.,CAH Everything Box Expanion,CAH & Expansions
Having sloppy sex as your dog watches.,"Crows Adopt Vulgarity, Vol. 1",CAH & Expansions
"Having so little hope for your child's future that you name him ""Jathan.""",Crabs Adjust Humidity: Volume 7,CAH & Expansions
Having some feelings in the rain.,Carps & Angsty Manatee - Volume 2,CAH & Expansions
Having someone push in your stool for you,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Having surprise twins… or triplets!,Fun in the Oven,CAH & Expansions
Having the appetite of Aquinas.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
"Having the biggest, baddest sewing machine on the block",Cards Against Profanity,CAH & Expansions
Having the coolest Pokémon® cards.,Not Parent Approved Expansion Pack #1,Kids
Having the courage to give up,JadedAid: Peace Corps Expansion Pack,Humanitarian
Having the courage to give up,KinderPerfect (Commercial Set),Parenthood
Having the Tabernacle off to the side.,The Catholic Card Game: Generations Expansion Pack,Catholic
Having the weight of the world on my shoulders,Cards Against Profanity,CAH & Expansions
Having thirty sons named Chad.,CAH Absurd Box Expansion,CAH & Expansions
Having to “collect” bull sperm for a living.,Words Against Morality: Volume 4,CAH & Expansions
Having to go really bad,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Having to pee so bad.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
Having to read your boss's mind after zero guidance,Depravity,Depravity
Having to send dinero to Chiapas.,Bad Hombres Against Fake News Pack 1,Elections & Donald Trump
Having to stay inside for recess,Kids Create Absurdity,Kids
Having to think about your ex to cum,Depravity,Depravity
"Having to transfer to a different diocese because, apparently, filling the youth group with ""the holy spirit"" isn't something that is up for interpretation.",Cocks Abreast Hostility: Cock Pack One: Just The Tip,Dirty
Having too many Nativity sets.,The Catholic Card Game: Base Deck,Catholic
Having tuna sandwiches with my favorite honkies.,CAH Absurd Box Expansion,CAH & Expansions
Having twins and giving one up for adoption.,Humanity Hates Trump: Base Set,Elections & Donald Trump
Having two feast days.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
Having ugly feet.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
Having unprecedented skill with the bo staff,Cards Against Profanity,CAH & Expansions
Having unprotected sex to honor the anniversary of Roe v. Wade.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Elections & Donald Trump
Having visions.,The Catholic Card Game: Base Deck,Catholic
Having wet hair at Mass.,The Catholic Card Game: Life Teen Expansion Pack,Catholic
Having wet nightmares.,The Worst Card Game: 2016 National Edition,CAH & Expansions
"Having your cat back away, hackles-up, hissing and yowling at your date.",Carbs of the Huge Manatee - Online Dating Expansion 1,Dating
Having your date cancel right after you take the Viagra.,Words Against Morality: Volume 1,CAH & Expansions
"Having your date say grace while you think, “I'm picking up the tab, why are you thanking God?”",Carbs of the Huge Manatee - Online Dating Expansion 1,Dating
"Having your dick hole stomped by LtCol Rob Riggle, the OIC of stomping dick holes!",Disgruntled Decks: Marine Corps/Jarhead Edition,Military
Having your embarrassing moments posted on YouTube™.,Not Parent Approved,Kids
Having your every decision examined by every single person on Earth,Cads About Maternity - A game for bad mommies,Parenthood
Having your favorite chilldhood memory replaced by a mixed-use condo.,The Worst Card Game: Colorado Edition,Colorado
Having your middle-school boyfriend stick his tongue in your bellybutton to see if it feels like sex.,Cards With No Sexuality,CAH & Expansions
Having your mom stay for a week to help with the new baby.,Fun in the Oven,CAH & Expansions
Having your rubbers ravaged by Keas,Kiwis Versus Morality,New Zealand
Having your sexual partner wear a horse mask because you're not ready for real bestiality yet.,Words Against Morality: Volume 2,CAH & Expansions
Having your titties sucked while sucking on titties.,CAH Pride Pack,CAH & Expansions
Having zero fucks to give.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
Havng the painters in.,"Guards Against Insanity, Edition 5",CAH & Expansions
Hawaii.,Not Parent Approved,Kids
Hazing for the fuck of it.,Disgruntled Decks: Navy Edition,Military
"Hazing Muslim boots on tumble dry, low heat.",Disgruntled Decks: Marine Corps/Jarhead Edition,Military
Hazing yourself.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
he that hath killed my king and whored my mother,Bards Dispense Profanity,CAH & Expansions
He’s still dead.,Carbs of the Huge Manatee: General Expansion 2,CAH & Expansions
Head lice,KinderPerfect (Commercial Set),Parenthood
Head transplants,Conspiracy Theory,Conspiracy
"head, and butt!",Bards Dispense Profanity,CAH & Expansions
Headless Horseman,Cards for the Masses,CAH & Expansions
headstrong women,Bards Dispense Profanity,CAH & Expansions
Health and comfort inspections.,Disgruntled Decks: Navy Edition,Military
Healthcare.gov.,CAH Absurd Box Expansion,CAH & Expansions
Hearing my parents have sex through the ceiling.,Cats Abiding Horribly: Episode I - The Dirty Goblin,CAH & Expansions
Hearing neighbors having sex... and not finding her believable.,Carbs of the Huge Manatee: General Expansion 1,CAH & Expansions
Hearing the same jokes over and over again for all eternity.,Cads About Matrimony,Matrimony
Hearing your dad offer to give your mom his special cream pie.,"Humanity Hates the Holidays ""Love"" Edition",CAH & Expansions
Hearing your Mum and Dad fuck,Depravity,Depravity
Hearing your neighbours having sex,Depravity,Depravity
Hearing your parents copulate.,WTF Did You Say?!?,CAH & Expansions
Heart Attacks,Personally Incorrect,Personal
Heart-warming orphans.,Hilarious!,CAH & Expansions
"Hearting Donald Trump, Jr.'s tweets.",Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Heartless extortion,Conspiracy Theory,Conspiracy
Heartwarming orphans.,CAH Base Set,CAH & Expansions
Heartwarming orphans.,Cards Against/For South Africa,South Africa
Heat-Seeking Love Missile.,"Humanity Hates the Holidays ""Love"" Edition",CAH & Expansions
Heath Ledger.,CAH Base Set,CAH & Expansions
Heathcliff.,CAH Theatre Pack - CATS Musical Pack,CAH & Expansions
Heather du-Plessis Allan in your wank bank,Kiwis Versus Morality,New Zealand
Heather Mills McCartney.,"Guards Against Insanity, Edition 1",CAH & Expansions
Heavily regulated vaginas.,Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Elections & Donald Trump
Heavy breathing,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Heavy flow.,Carbs of the Huge Manatee: General Expansion 1,CAH & Expansions
Heidi Klum's former 10 body.,Humanity Hates Trump: Expansion Pack 1,Elections & Donald Trump
"Helen Clark, the mother of a Nation",Kiwis Against Morality,New Zealand
Helen Keller,Evil Apples,CAH & Expansions
Helen Keller.,Cards and Punishment Vol. Two,CAH & Expansions
Helen Keller's Tampon.,Cakes Athirst Hilarity Volume 1,CAH & Expansions
Helen Zille being chased by Redwing Starlings.,Hilarious!,CAH & Expansions
Helen Zille being harried by a swarm of Indian Mynah birds.,Cards Against/For South Africa,South Africa
Helicopter dick.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Dirty
Helicopter parents,KinderPerfect (Commercial Set),Parenthood
Hellacious shits.,Words Against Morality: Volume 3,CAH & Expansions
Helpies - selfies to brag about helping,JadedAid: A Card Game to Save Humanitarians,Humanitarian
Helping extreme bigots and moderate bigots find common ground.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Helping Santa Claus win again.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Helping someone move and finding a giant bag of sex toys.,"Humanity Hates the Holidays ""Love"" Edition",CAH & Expansions
Helping them cheat on the SAT,KinderPerfect: Naughty Expansion Pack,Parenthood
Helping them look for their candy that you ate last night,KinderPerfect: More Expansion Pack,Parenthood
Helping your Grandad climax for his birthday,Depravity,Depravity
Helping your grandparent get dressed,Kids Against Maturity,Kids
Helping yourself,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Helplessly giggling at the mention of Hutus and Tutsis.,CAH Base Set,CAH & Expansions
Hemorrhaging cash.,"Guards Against Insanity, Edition 4",CAH & Expansions
Hemorrhoid cream.,"Bad Campaign, The Presidential Party Game!",Elections & Donald Trump
hemorrhoids the size of asteroids,Evil Apples,CAH & Expansions
Hemorrhoids the size of clementines.,Charlie Foxtrot,Military
Hemorrhoids?,Fun in the Oven,CAH & Expansions
Hemorrhoids.,Babies vs. Parents,Parenthood
Hemorrhoids.,Cats Abiding Horribly: Episode III - The SJWs Strike Back,CAH & Expansions
hemorroidal abcesses,Skewered And Roasted,CAH & Expansions
Henry the Eighth's wives.,The Catholic Card Game: Base Deck,Catholic
Henry V,Cards Against Profanity,CAH & Expansions
Hentai,Personally Incorrect,Personal
Hentai.,CAH Everything Box Expanion,CAH & Expansions
"Hepatitis A, B & C!",Clones Attack Hilarity #2,CAH & Expansions
Hepatitis C.,Crabs Adjust Humidity: Volume 6,CAH & Expansions
"her C's,
her U's,
and her T's",Bards Dispense Profanity,CAH & Expansions
"Her dry, scaly hands.",Crabs Adjust Humidity: Volume 2,CAH & Expansions
"her fine foot, straight leg, and quivering thigh

and the demesnes that there adjacent lie",Bards Dispense Profanity,CAH & Expansions
Her first boyfriend,KinderPerfect (Commercial Set),Parenthood
Her first period,KinderPerfect (Commercial Set),Parenthood
Her first time wearing makeup,KinderPerfect: Tween Expansion Pack,Parenthood
her lamb when it baes,Bards Dispense Profanity,CAH & Expansions
"Her Majesty, Queen Elizabeth II.",CAH Base Set,CAH & Expansions
"Her Royal Highness, Queen Elizabeth II.",CAH Base Set,CAH & Expansions
her virgin-knot,Bards Dispense Profanity,CAH & Expansions
herbal laxatives,Skewered And Roasted,CAH & Expansions
Herding cats,Cards for the Masses,CAH & Expansions
here comes the climax!,That's What She Said Game - First Expansion,Said
here comes the money shot,That's What She Said Game - Second Expansion,Said
"here, sir!
here, sir!
here, sir!
here, sir!",Bards Dispense Profanity,CAH & Expansions
"here, taste this",That's What She Said Game,Said
here… have a sniff,That's What She Said Game,Said
HERESY!,The Catholic Card Game: Base Deck,Catholic
Heretical tweets.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
Heritage minutes.,CAH Base Set,CAH & Expansions
